State,Pop
United States,321039839
Northeast Region,56296628
Midwest Region,67839187
South Region,121081238
West Region,75822786
Alabama,4850858
Alaska,737979
Arizona,6802262
Arkansas,2975626
California,39032444
Colorado,5440445
Connecticut,3593862
Delaware,944107
District of Columbia,672736
Florida,20268567
Georgia,10199533
Hawaii,1426320
Idaho,1649324
Illinois,12862051
Indiana,6610596
Iowa,3118473
Kansas,2905789
Kentucky,4422057
Louisiana,4671211
Maine,1327787
Maryland,6000561
Massachusetts,6794002
Michigan,9918170
Minnesota,5483238
Mississippi,2985297
Missouri,6072640
Montana,1028317
Nebraska,1893564
Nevada,2883057
New Hampshire,1330134
New Jersey,8960001
New Mexico,2082264
New York,19819347
North Carolina,10041769
North Dakota,754859
Ohio,11606027
Oklahoma,3904353
Oregon,4016537
Pennsylvania,12791124
Rhode Island,1055916
South Carolina,4892423
South Dakota,854036
Tennessee,6590726
Texas,27454880
Utah,2984917
Vermont,624455
Virginia,8366767
Washington,7152818
West Virginia,1839767
Wisconsin,5759744
Wyoming,586102
Puerto Rico,3473177